X Z U W THETA OMEGA
3.47119376495705e-08 -1.98449989065738e-05 1.65294933712696e-07 -9.44999921898143e-05 60 0
3.63845649508011e-08 -2.08012488265976e-05 1.69230526824887e-07 -9.67499918134732e-05 60 0
3.80965481829441e-08 -2.17799987428137e-05 1.73166119911803e-07 -9.8999991428277e-05 60 0
3.98478873457534e-08 -2.27812486551336e-05 1.77101712973456e-07 -0.000101249991034226 60 0
4.1638582438983e-08 -2.38049985634687e-05 1.8103730600986e-07 -0.000103499990631319 60 0
4.34686334623868e-08 -2.48512484677304e-05 1.84972899021027e-07 -0.000105749990219558 60 0
4.53380404157188e-08 -2.59199983678303e-05 1.88908492006973e-07 -0.000107999989798941 60 0
4.72468032987331e-08 -2.70112482636797e-05 1.92844084967708e-07 -0.00011024998936947 60 0
4.91949221111835e-08 -2.81249981551901e-05 1.96779677903248e-07 -0.000112499988931143 60 0
5.1182396852824e-08 -2.92612480422729e-05 2.00715270813606e-07 -0.000114749988483961 60 0
5.32092275234087e-08 -3.04199979248397e-05 2.04650863698794e-07 -0.000116999988027924 60 0
5.52754141226914e-08 -3.16012478028018e-05 2.08586456558826e-07 -0.000119249987563032 60 0
5.73809566504262e-08 -3.28049976760708e-05 2.12522049393715e-07 -0.000121499987089285 60 0
5.9525855106367e-08 -3.4031247544558e-05 2.16457642203475e-07 -0.000123749986606683 60 0
6.17101094902677e-08 -3.52799974081748e-05 2.20393234988119e-07 -0.000125999986115226 60 0
6.39337198018825e-08 -3.65512472668329e-05 2.24328827747661e-07 -0.000128249985614914 60 0
6.61966860409651e-08 -3.78449971204435e-05 2.28264420482113e-07 -0.000130499985105746 60 0
6.84990082072697e-08 -3.91612469689182e-05 2.32200013191489e-07 -0.000132749984587724 60 0
7.08406863005502e-08 -4.04999968121684e-05 2.36135605875802e-07 -0.000134999984060846 60 0
7.32217203205604e-08 -4.18612466501055e-05 2.40071198535066e-07 -0.000137249983525114 60 0
7.56421102670545e-08 -4.32449964826411e-05 2.44006791169294e-07 -0.000139499982980526 60 0
7.81018561397864e-08 -4.46512463096865e-05 2.47942383778499e-07 -0.000141749982427083 60 0
8.06009579385101e-08 -4.60799961311531e-05 2.51877976362695e-07 -0.000143999981864785 60 0
8.31394156629794e-08 -4.75312459469526e-05 2.55813568921895e-07 -0.000146249981293633 60 0
8.57172293129485e-08 -4.90049957569962e-05 2.59749161456112e-07 -0.000148499980713625 60 0
8.83343988881713e-08 -5.05012455611955e-05 2.6368475396536e-07 -0.000150749980124761 60 0
9.09909243884017e-08 -5.20199953594618e-05 2.67620346449651e-07 -0.000152999979527043 60 0
9.36868058133937e-08 -5.35612451517067e-05 2.71555938909e-07 -0.00015524997892047 60 0
9.64220431629012e-08 -5.51249949378416e-05 2.75491531343419e-07 -0.000157499978305042 60 0
9.91966364366783e-08 -5.67112447177779e-05 2.79427123752923e-07 -0.000159749977680758 60 0
1.02010585634479e-07 -5.83199944914271e-05 2.83362716137523e-07 -0.00016199997704762 60 0
1.04863890756057e-07 -5.99512442587007e-05 2.87298308497234e-07 -0.000164249976405626 60 0
1.07756551801167e-07 -6.160499401951e-05 2.9123390083207e-07 -0.000166499975754777 60 0
1.10688568769562e-07 -6.32812437737666e-05 2.95169493142042e-07 -0.000168749975095074 60 0
1.13659941660996e-07 -6.49799935213819e-05 2.99105085427164e-07 -0.000170999974426515 60 0
1.16670670475224e-07 -6.67012432622673e-05 3.03040677687451e-07 -0.000173249973749101 60 0
1.19720755211999e-07 -6.84449929963343e-05 3.06976269922915e-07 -0.000175499973062832 60 0
1.22810195871076e-07 -7.02112427234943e-05 3.10911862133569e-07 -0.000177749972367708 60 0
1.25938992452208e-07 -7.19999924436588e-05 3.14847454319428e-07 -0.000179999971663729 60 0
1.29107144955149e-07 -7.38112421567393e-05 3.18783046480503e-07 -0.000182249970950894 60 0
1.32314653379653e-07 -7.56449918626471e-05 3.22718638616809e-07 -0.000184499970229205 60 0
1.35561517725475e-07 -7.75012415612938e-05 3.26654230728358e-07 -0.000186749969498661 60 0
1.38847737992367e-07 -7.93799912525907e-05 3.30589822815165e-07 -0.000188999968759261 60 0
1.42173314180085e-07 -8.12812409364494e-05 3.34525414877243e-07 -0.000191249968011007 60 0
1.45538246288382e-07 -8.32049906127813e-05 3.38461006914604e-07 -0.000193499967253897 60 0
1.48942534317012e-07 -8.51512402814978e-05 3.42396598927262e-07 -0.000195749966487932 60 0
1.52386178265729e-07 -8.71199899425103e-05 3.46332190915231e-07 -0.000197999965713113 60 0
